"original address",latitude,longitude
"Okafor-Ugwumba's Compound, Abidi Village, Umuoji",,
"Onitsha-Owerri Rd., Ihiala",5.856024,6.859512
"1, Hospital Rd., Ewkulobia, Aguata",,
"10, Oko Rd., Ekwulobia, Aguata LGA",40.776927,-73.873966
"2, Ogbunka Road, Umunze, Orumba South L.G.A",40.776927,-73.873966
"12, Orlu Rd. Ekwulobia Aguata L.G.A",40.776927,-73.873966
"2, School Rd., Iyiowa L/out, Odekpe, Ogbaru LGA",40.776927,-73.873966
"38, Acha Str., Odekpe",6.109846,6.767384
"74, Zil's Avenue, Amawbia",,
"3, Ukpor Str., Nkpor-Agu, Idemili North LGA",40.776927,-73.873966
"99, Gombe Rd. Bauchi",10.279497,11.186013
"565, Ran Rd, Bauchi",10.327358,9.846464
"Tafawa Balewa L.G.A., Bauchi",9.756048,9.556222
"1. Wunti Gate, Bauchi",10.317463,9.83963
"C-35, Kobi St.  P.O.Box 008, Bauchi",10.312334,9.838734
"C-35, Kobi St.  P.O.Box 008, Bauchi",10.312334,9.838734
"37, Kobi St. Bauchi",10.312334,9.838734
"Railway Rd. Tudun Alkali, Bauchi",10.300964,9.823653
"Yelwa Tudun, Bauchi",10.273249,9.796345
"1. Bakin Kura/Aminu Junc. St. Ibo Qtrs., Bauchi",10.300964,9.823653
"B295, Wunti",10.317463,9.83963
"20A, Harbour Rd., Yenagoa",4.921162,6.274773
"196, Mbiama Rd., Ovom, Yenagoa",4.921162,6.274773
"103, Mbiama-Yenagoa Rd., Yenagoa",4.934918,6.284802
"Onopa, Yenagoa",4.921162,6.274773
"79, Yenagoa-Mbiama Rd., Yenagoa",4.934918,6.284802
"Doro Baga, Box 422 Maiduguri",11.831098,13.150967
"8, Shehu Laminu Way, Old GRA, Maiduguri",11.831098,13.150967
"Bama Rd., Maiduguri",11.857476,13.159206
"10, Kasua Shanu Rd., Maiduguri",11.831098,13.150967
"3, Sabon Layi, Gwange, Maiduguri",11.832941,13.171151
"Baga Rd., Maiduguri",11.908872,13.063893
"Moduganari Ward, Maiduguri",11.831098,13.150967
"366, Kashim Ibrahim Rd., Maiduguri",11.834545,13.10902
"10, Kofa Biyu, Budum, Maiduguri",11.831098,13.150967
"1, Ahmadu Bello Way, Maiduguri",11.834748,13.16309
"original address",latitude,longitude
". Heritage Pharm.	6, Ahmadu Bello Way, Box 711, Maiduguri",11.831098,13.150967
". Interglobal Pharmacy Ltd	10, Kasuwan Shanu Rd., Maiduguri",11.831098,13.150967
". Jato Pharm. Ltd	2, Shehu Laminu Way, Maiduguri",11.832541,13.149212
". Jeks Pharmacy	250, Sir Kashim Ibrahim Rd., Maiduguri",11.834545,13.10902
". Juci Pharmacy	Gamboru/Ngala Rd., Maiduguri",11.831098,13.150967
". Kris Pharmacy	25, Baram Str., Gamboru Ward, Maiduguri",11.831098,13.150967
". Kunle-Ara Pharmacy & S/market Ltd	13, Lagos Str., Off Bama Rd., Maiduguri",11.857476,13.159206
". Lucetta Pharm.	Ahmadu Bello Way, (Opp. NEPA) Maiduguri",11.831098,13.150967
". Neem Pharmacy	87, Kashim Ibrahim Rd., Maiduguri",11.834545,13.10902
". Nenrot Pharmacy	Damboa Rd., (Opp. NTA), Maiduguri",11.831098,13.150967
". Nobel Pharmacy & Stores Ltd	372, Kashim Ibrahim Rd., Maiduguri",11.834545,13.10902
". Onnel Pharmaceutical Chemist	3, Kasuwan Shanu Rd., Maiduguri",11.831098,13.150967
". Osel Pharmacy	3, Kam Salem St., Wulari, Maiduguri",11.831098,13.150967
". Our Lady's Pharm. Chemist	2, Kam Salem Rd., Wulari, Maiduguri",11.831098,13.150967
". Rana Pharmacy & Stores	44, Ajari Rd., Lawanti Ward, Old Maiduguri",11.831098,13.150967
". Rata Pharm. Chem. Ltd	Bama Rd., (Opp. UNIMAID T H), Maiduguri",11.831098,13.150967
". Redeemer Pharmacy and Stores	113, Shehuri North, Budum Rounabout, Maiduguri",11.831098,13.150967
". S Soya Pharmacy Nig. Ltd	133/135, Shehu Laminu Way, Maiduguri",11.832541,13.149212
". Sarash Nig. Ltd	160, Sir Kashim Ibrahim Rd., Maiduguri",11.834545,13.10902
". Shalom Pharmacy	Baga Rd., Opp. Baga motor Park, Maiduguri",11.831098,13.150967
". Shams Pharmacy	60, Nemeri Rd., Maiduguri",11.831098,13.150967
". Simple Pharmacy	31, Dandal Way, Maiduguri",11.8457,13.153989
". Simple Pharmacy Ltd	Off Airport Rd., Gomari, Maiduguri",11.831098,13.150967
". Thad More Pharmacy Ltd	Gworza Waziri Rd., Maiduguri",11.812708,13.144048
". Tonamoore Pharmacy	32, Waziri Abbaram St. Maiduguri",11.831098,13.150967
". Winner Pharmacy	Bama Rd., Opp. U.M.T.H., Maiduguri",11.831098,13.150967
". Yaduwa Pharmacy	Galdima Kyari Drive, Maiduguri",11.831098,13.150967
". Devis Pharm. Chem. Ltd	Gamboru Ward",,
". Kris Pharmacy	25, Baram Str., Gamboru Ward",,
". Mai-Nasara Pharmacy	Maiduguri-Fotokol Rd., Gamboru-Ngala",,
". Namu Pharmaceutical Ltd	Gombe Rd., Biu",,
